name,J-cat Score,task,Sentence Length,Clause Length,Clauses per Sentence,CC Freq,SC Freq,CTTR
EUS12,157.0,e,9.934672487474211,6.818827365163573,1.3913387857353374,0.41514041514041516,5.240825217981032,4.587940488512842
EUS14,284.0,e,21.9,8.945833333333333,2.3,0.45662100456621,5.47945205479452,6.0478495366753995
EUS14,284.0,m1,16.6,8.297916666666666,1.7999999999999998,0.228310502283105,4.2883985937689415,5.799051330069311
EUS14,284.0,m3,15.02962962962963,8.43317901234568,1.6444444444444444,0.3079702413974594,4.105038314849076,5.573935350693547
EUS14,284.0,m2,13.647222222222222,7.952199074074074,1.5527777777777776,0.23097768104809455,3.8097728881835904,5.478222882066261
EUS15,117.0,m2,9.416666666666666,6.472222222222221,1.4166666666666667,0.8849557522123894,6.1946902654867255,4.6563307366641755
EUS15,117.0,m3,8.844696969696969,6.39520202020202,1.2992424242424243,0.4424778761061947,4.7456967810950115,4.292476057484006
EUS15,117.0,m1,9.41161616161616,6.521043771043771,1.3207070707070707,0.5823415725765436,5.462648428775984,4.3060214664462855
EUS15,117.0,e,11.496212121212121,7.219949494949495,1.478030303030303,0.6480237850662105,5.787127166652411,4.299102040517856
EUS17,170.0,m1,10.777777777777779,7.222222222222222,1.3333333333333333,0.0,7.216494845360824,4.379544767568203
EUS17,170.0,m2,11.26388888888889,7.798611111111111,1.2916666666666665,0.0,7.863566571616582,4.37774725625252
EUS17,170.0,m3,13.231481481481483,8.032407407407408,1.472222222222222,0.0,8.154999073634356,4.38163750084741
EUS17,170.0,e,15.17361111111111,8.853252923976608,1.5778508771929824,0.06265664160401002,7.306725495701957,4.542914503229058
EUS20,144.0,e,13.235294117647058,7.887254901960785,1.7058823529411764,0.8888888888888888,5.333333333333334,4.195500235040182
EUS20,144.0,m2,10.567647058823528,7.060294117647059,1.4529411764705882,1.0773558368495078,5.831223628691983,4.245754784794562
EUS20,144.0,m3,9.645098039215686,6.879084967320261,1.4019607843137254,0.7182372245663385,6.451584983230553,4.218280522840463
EUS20,144.0,m1,10.067156862745097,6.905841503267974,1.4473039215686274,0.5386779184247539,6.676924031540562,4.255120704793846
EUS24,185.0,e,16.818181818181817,8.56060606060606,1.9545454545454546,1.3513513513513513,4.054054054054054,5.036220161342583
EUS24,185.0,m3,12.964646464646464,6.696969696969697,1.6994949494949494,0.6756756756756757,5.6855636123928806,4.431238663806716
EUS24,185.0,m2,11.93476430976431,6.867424242424242,1.5913299663299663,0.45045045045045046,5.900080382945465,4.333125068442409
EUS24,185.0,m1,11.110164141414142,6.877840909090909,1.4889520202020203,0.33783783783783783,4.951376076682783,4.374331989002325
EUS27,171.0,m2,10.538461538461538,6.423076923076923,1.4615384615384615,0.0,3.64963503649635,4.410091281310292
EUS27,171.0,m3,10.213675213675213,7.628205128205129,1.2863247863247862,0.5617977528089888,2.9484130238661526,4.153828032044386
EUS27,171.0,m1,10.142450142450143,7.206682206682207,1.312095312095312,0.6775621382362955,3.783790500759253,4.319878371695047
EUS27,171.0,e,10.745726495726496,7.835567210567211,1.345182595182595,0.729410541730319,3.2803207516756343,4.2376939366278945
EUS33,241.0,m1,7.7727272727272725,6.363636363636363,1.2272727272727273,0.0,4.093567251461988,4.758495019835701
EUS33,241.0,m3,10.33874458874459,7.1183261183261175,1.3755411255411256,0.5535055350553505,5.921322371118448,4.7631766366287955
EUS33,241.0,m2,11.663329725829726,6.803189634439634,1.542027417027417,0.3690036900369003,7.0043168063642645,4.826469332175723
EUS33,241.0,e,14.050128873319663,7.4510764363560416,1.6696784575074048,0.40082224643586384,6.43189765440099,4.958344911116852
EUS36,95.0,m3,6.2,5.35,1.1,1.6129032258064515,1.6129032258064515,4.310527248642598
EUS36,95.0,m2,7.155555555555555,5.730555555555555,1.1611111111111112,2.176314626601856,1.4913831197525407,4.265658640257337
EUS36,95.0,m1,7.17037037037037,5.587037037037037,1.174074074074074,1.4508764177345705,2.383144302057249,4.260439093504892
EUS36,95.0,e,7.877777777777778,6.284974747474747,1.191161616161616,1.4669451920888066,2.2419036810883917,4.1392592899245155
EUS38,61.0,e,8.282051282051283,6.786324786324785,1.2307692307692308,0.30959752321981426,0.9287925696594427,4.209858693200791
EUS38,61.0,m1,7.688644688644689,6.297924297924297,1.2106227106227108,0.15479876160990713,1.8066781640243523,4.2482817981453165
EUS38,61.0,m3,7.292429792429792,6.15099715099715,1.188034188034188,0.10319917440660475,2.4865033914008503,4.21242956711407
EUS38,61.0,m2,7.322263520792933,6.02991452991453,1.214555052790347,0.07739938080495357,2.6585283372014312,4.214472995819645
EUS39,125.0,m2,7.0,7.0,1.0,0.0,2.0408163265306123,3.939594923753622
EUS39,125.0,m3,7.785714285714286,6.857142857142858,1.0714285714285714,0.0,1.8537414965986394,3.795539320227365
EUS39,125.0,m1,8.095238095238095,6.642857142857143,1.1428571428571428,0.0,2.875171926694175,3.918574319470194
EUS39,125.0,e,9.538095238095238,7.604365079365079,1.207142857142857,0.0,3.117917406559093,3.9195114152935657
EUS47,132.0,e,12.692307692307692,8.256410256410255,1.6538461538461537,0.9090909090909091,4.545454545454546,4.709918612177214
EUS47,132.0,m3,10.703296703296703,7.461538461538462,1.541208791208791,0.45454545454545453,4.731743666169896,4.437281465066533
EUS47,132.0,m2,10.754578754578754,7.331501831501831,1.5036630036630036,0.30303030303030304,4.9088817423588775,4.364106626510964
EUS47,132.0,m1,10.182600732600733,7.223626373626374,1.4444139194139194,0.22727272727272727,4.862763668973883,4.402500419131909
FFR07,176.0,e,18.35,8.5875,2.1,1.3623978201634876,5.994550408719346,5.204404967205214
FFR07,176.0,m3,13.133333333333335,7.16875,1.6333333333333333,0.6811989100817438,5.628854151728094,4.887452671449144
FFR07,176.0,m2,12.700000000000001,6.9319444444444445,1.5611111111111111,0.45413260672116257,5.630503706785865,4.979135185347183
FFR07,176.0,m1,11.858333333333334,7.053125,1.4625000000000001,0.5638137407551576,5.338949208660828,4.8368040118991384
FFR10,209.0,e,19.227272727272727,7.559090909090909,2.409090909090909,0.2364066193853428,5.200945626477541,5.088344814876715
FFR10,209.0,m1,13.970779220779221,7.083116883116883,1.8474025974025974,0.1182033096926714,4.649653141107622,4.752808586280813
FFR10,209.0,m3,12.493339993339992,7.042590742590742,1.641858141858142,0.3476194107628562,5.2503063951470175,4.756040645022924
FFR10,209.0,m2,12.084290709290709,7.171824009324009,1.5706793206793208,0.26071455807214217,5.417992954254999,4.871832470156012
FFR17,175.0,e,12.814814814814815,8.518518518518519,1.5555555555555556,1.4450867052023122,2.8901734104046244,4.599729823681718
FFR17,175.0,m1,13.507407407407406,8.459259259259259,1.6277777777777778,0.7225433526011561,5.3183261418220305,4.525080520954334
FFR17,175.0,m3,12.771604938271604,8.281172839506173,1.5685185185185184,1.071666069875697,4.872984389533271,4.741375272672817
FFR17,175.0,m2,13.078703703703704,8.26536680911681,1.5994658119658118,0.8037495524067728,4.8910020284136895,4.787766137652867
FFR19,168.0,m3,12.944444444444445,9.069444444444445,1.5,0.0,7.725321888412018,4.95667928434925
FFR19,168.0,m2,13.847222222222221,8.558159722222221,1.71875,0.211864406779661,7.676220266239907,5.078962937737389
FFR19,168.0,m1,13.598148148148148,8.17488425925926,1.7625,0.26846940095743305,7.789235902684111,5.118821670869318
FFR19,168.0,e,14.612404214559387,8.41061721743295,1.821875,0.20135205071807477,7.209114427013083,5.229741253151988
FFR22,160.0,m1,8.307692307692308,5.615384615384615,1.3846153846153846,0.0,3.7037037037037033,4.354648431614539
FFR22,160.0,m3,8.587179487179487,5.77991452991453,1.3923076923076922,0.37593984962406013,4.483430799220272,4.568567639798636
FFR22,160.0,m2,9.367643467643468,6.400895400895401,1.3805860805860806,0.6863564139105934,3.6425486373886784,4.703531416243343
FFR22,160.0,e,9.385107600732601,6.4979371756715505,1.3791895604395603,0.5975487673865875,3.5597260475779327,4.697469471666048
FFR23,173.0,m2,7.923076923076923,6.3076923076923075,1.2307692307692308,0.9708737864077669,4.854368932038835,4.737784497183
FFR23,173.0,e,11.180288461538462,6.23457532051282,1.7091346153846154,0.9183373261043164,5.024587063422015,4.788151195627524
FFR23,173.0,m3,9.490562678062679,5.656383547008547,1.5097934472934473,0.6122248840695442,5.167906527129828,4.654076767261591
FFR23,173.0,m1,8.707207722832722,5.501216231684982,1.4180593711843712,0.4591686630521582,5.280424277369843,4.652331693389779
FFR31,150.0,e,14.25,9.395833333333334,1.625,1.7543859649122806,4.093567251461988,4.511842766121048
FFR31,150.0,m2,12.360294117647058,8.85968137254902,1.4301470588235294,0.8771929824561403,4.0130757605624545,4.561416772074358
FFR31,150.0,m3,11.761029411764707,8.500204248366014,1.3700980392156863,0.9792726391916675,3.6615771342605714,4.654598451270155
FFR31,150.0,m1,11.487438725490197,8.166819852941178,1.4025735294117647,0.8646628127270839,4.048266184028762,4.664662673536222
FFR32,136.0,m3,9.166666666666666,7.0,1.3333333333333333,0.9090909090909091,2.727272727272727,5.12391895472064
FFR32,136.0,m2,9.770833333333332,7.53125,1.2916666666666665,0.45454545454545453,1.9660460021905806,4.890411054479319
FFR32,136.0,m1,9.23611111111111,7.506944444444445,1.222222222222222,0.6431663574520717,1.3106973347937203,4.736464512510022
FFR32,136.0,e,9.327083333333333,7.3746527777777775,1.2666666666666666,0.6559858792001649,1.9378841122064014,4.812765051049183
FFR39,141.0,m3,12.846153846153847,7.871794871794871,1.6153846153846154,0.5988023952095809,7.18562874251497,4.3226876758002035
FFR39,141.0,m2,11.235576923076923,7.873397435897436,1.4014423076923077,0.29940119760479045,5.540866319309433,4.611496231782318
